Cosecha,AñoSemana,Reincidencias
TecSem25,2022-33,56
TecSem25,2022-34,53
TecSem26,2022-26,339
TecSem26,2022-27,108
TecSem26,2022-28,93
TecSem26,2022-29,98
TecSem26,2022-30,66
TecSem26,2022-31,69
TecSem26,2022-32,31
TecSem26,2022-33,34
TecSem26,2022-34,29
TecSem27,2022-27,505
TecSem27,2022-28,169
TecSem27,2022-29,149
TecSem27,2022-30,158
TecSem27,2022-31,91
TecSem27,2022-32,45
TecSem27,2022-33,53
TecSem27,2022-34,53
TecSem28,2022-28,477
TecSem28,2022-29,150
TecSem28,2022-30,155
TecSem28,2022-31,94
TecSem28,2022-32,48
TecSem28,2022-33,51
TecSem28,2022-34,53
TecSem29,2022-29,671
TecSem29,2022-30,204
TecSem29,2022-31,145
TecSem29,2022-32,75
TecSem29,2022-33,71
TecSem29,2022-34,78
TecSem30,2022-30,599
TecSem30,2022-31,125
TecSem30,2022-32,59
TecSem30,2022-33,67
TecSem30,2022-34,57
TecSem31,2022-31,370
TecSem31,2022-32,44
TecSem31,2022-33,53
TecSem31,2022-34,53
TecSem32,2022-32,325
TecSem32,2022-33,76
TecSem32,2022-34,55
TecSem33,2022-33,341
TecSem33,2022-34,79
TecSem34,2022-34,378
