Nivel,NOMBRE,Year,SEMANA_REGISTRO,No requiere,Por supervisor,Por CCMC,Year_Semana
PLAZA,MONTERREY,2022,19,8,0,0,2022-19
PLAZA,MONTERREY,2022,20,22,4,0,2022-20
PLAZA,MONTERREY,2022,21,29,2,1,2022-21
PLAZA,MORELIA,2022,19,1,0,0,2022-19
PLAZA,MORELIA,2022,20,0,0,0,2022-20
PLAZA,MORELIA,2022,21,1,0,0,2022-21
PLAZA,PACHUCA,2022,19,6,0,2,2022-19
PLAZA,PACHUCA,2022,20,5,0,0,2022-20
PLAZA,PACHUCA,2022,21,2,0,0,2022-21
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,19,2,0,0,2022-19
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,20,3,0,0,2022-20
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,21,3,0,0,2022-21
PLAZA,POZA RICA,2022,19,1,2,0,2022-19
PLAZA,POZA RICA,2022,20,3,0,0,2022-20
PLAZA,POZA RICA,2022,21,3,0,0,2022-21
PLAZA,PUEBLA,2022,19,13,0,1,2022-19
PLAZA,PUEBLA,2022,20,17,0,0,2022-20
PLAZA,PUEBLA,2022,21,13,1,1,2022-21
PLAZA,PUERTO VALLARTA,2022,19,0,0,0,2022-19
PLAZA,PUERTO VALLARTA,2022,20,4,0,0,2022-20
PLAZA,PUERTO VALLARTA,2022,21,6,0,0,2022-21
PLAZA,QUERETARO,2022,19,1,0,0,2022-19
PLAZA,QUERETARO,2022,20,1,0,1,2022-20
PLAZA,QUERETARO,2022,21,2,1,0,2022-21
PLAZA,REYNOSA,2022,19,0,0,0,2022-19
PLAZA,REYNOSA,2022,20,3,0,1,2022-20
PLAZA,REYNOSA,2022,21,2,2,0,2022-21
PLAZA,SALTILLO,2022,19,14,0,0,2022-19
PLAZA,SALTILLO,2022,20,6,0,2,2022-20
PLAZA,SALTILLO,2022,21,6,0,2,2022-21
PLAZA,SAN LUIS POTOSI,2022,19,5,0,0,2022-19
PLAZA,SAN LUIS POTOSI,2022,20,4,0,0,2022-20
PLAZA,SAN LUIS POTOSI,2022,21,6,0,0,2022-21
PLAZA,TAMPICO,2022,19,1,0,0,2022-19
PLAZA,TAMPICO,2022,20,1,1,0,2022-20
