Nivel,NOMBRE,Year,SEMANA_REGISTRO,80-20,Actividades multiples,Armado de conectores Prepulidos,Armado de conectores RJ45,Como subir tu venta en FFM,Consumo de Materiales,De Técnico a experto en Servicio a Domicilio,Entrega de Servicios,Justificación de Materiales,Plan de Vida y Carrera,Proceso de instalación,Proceso de Instalación (Enfoque a Calidad),Productividad,Reincidencias y revisión de herramientas (impartido 06 de junio 2022),"Trayectoría, alturas y Flejados",Trayectorías,Venta Técnico,Ventas,Year_Semana
PLAZA,TIJUANA,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
PLAZA,GUADALAJARA,2022,25,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2022-25
PLAZA,LEON,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-25
PLAZA,MORELIA,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2022-25
PLAZA,QUERETARO,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
PLAZA,MERIDA,2022,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022-25
PLAZA,PACHUCA,2022,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2022-25
PLAZA,PUEBLA,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
DISTRITO,AZCAPOTZALCO,2022,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-19
DISTRITO,TLALPAN,2022,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-19
DISTRITO,XOCHIMILCO,2022,19,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2022-19
DISTRITO,PACHUCA,2022,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022-19
DISTRITO,PUE LORETO,2022,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-19
DISTRITO,VERACRUZ,2022,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-19
DISTRITO,AEROPUERTO,2022,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022-20
DISTRITO,ARAGON,2022,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-20
DISTRITO,AZCAPOTZALCO,2022,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-20
DISTRITO,CONSTITUCION,2022,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022-20
DISTRITO,NAUCALPAN,2022,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2022-20
DISTRITO,TULTEPEC,2022,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-20
DISTRITO,TOL SAN CARLOS,2022,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-20
DISTRITO,REYNOSA,2022,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2022-20
DISTRITO,SALTILLO,2022,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2022-20
DISTRITO,GDL LA PRIMAVERA,2022,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-20
DISTRITO,QUERETARO SANTIAGO,2022,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-20
DISTRITO,CORDOBA / ORIZABA,2022,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-20
DISTRITO,MERIDA NORTE,2022,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-20
DISTRITO,MERIDA SUR,2022,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-20
DISTRITO,VERACRUZ,2022,20,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2022-20
DISTRITO,AZCAPOTZALCO,2022,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2022-21
DISTRITO,CONSTITUCION,2022,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
DISTRITO,NAUCALPAN,2022,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-21
DISTRITO,PORTALES,2022,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2022-21
DISTRITO,TLALNEPANTLA,2022,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-21
DISTRITO,TULTEPEC,2022,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
DISTRITO,XOCHIMILCO,2022,21,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2022-21
DISTRITO,TOL SAN CARLOS,2022,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-21
DISTRITO,MTY SIERRA MADRE,2022,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-21
DISTRITO,SALTILLO,2022,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2022-21
DISTRITO,TIJ RIO,2022,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
DISTRITO,GDL COLOMOS,2022,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
DISTRITO,CORDOBA / ORIZABA,2022,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
DISTRITO,CUERNAVACA DE CORTEZ,2022,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-21
DISTRITO,PUE LORETO,2022,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
DISTRITO,AEROPUERTO,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2022-22
DISTRITO,CENTRO HISTORICO,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-22
DISTRITO,COACALCO,2022,22,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2022-22
DISTRITO,IZTAPALAPA,2022,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-22
DISTRITO,NAUCALPAN,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-22
DISTRITO,TECAMAC,2022,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-22
DISTRITO,TLALNEPANTLA,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2022-22
DISTRITO,TOL LERMA SAN MATEO,2022,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2022-22
DISTRITO,TOL METEPEC,2022,22,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2022-22
DISTRITO,TAMPICO,2022,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-22
DISTRITO,TIJ TECATE,2022,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-22
DISTRITO,GDL LA PRIMAVERA,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-22
DISTRITO,QUERETARO SANTIAGO,2022,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-22
DISTRITO,CUERNAVACA DE CORTEZ,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-22
DISTRITO,VERACRUZ,2022,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-22
DISTRITO,XALAPA,2022,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-22
DISTRITO,CENTRO HISTORICO,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-23
DISTRITO,COACALCO,2022,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
DISTRITO,CONSTITUCION,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-23
DISTRITO,GUADALUPE TEPEYAC,2022,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-23
DISTRITO,NAUCALPAN,2022,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2022-23
DISTRITO,PEDREGAL,2022,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022-23
DISTRITO,SATELITE,2022,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
DISTRITO,TLALPAN,2022,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-23
