Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
PLAZA,TIJUANA,5,7639,1337,0.175022909
PLAZA,TOLUCA,1,5463,627,0.114772103
PLAZA,TOLUCA,2,5311,611,0.115044248
PLAZA,TOLUCA,3,5793,603,0.104091144
PLAZA,TOLUCA,4,5764,643,0.111554476
PLAZA,TOLUCA,5,6284,716,0.113940165
PLAZA,TUXTLA,1,467,25,0.053533191
PLAZA,TUXTLA,2,597,27,0.045226131
PLAZA,TUXTLA,3,675,48,0.071111111
PLAZA,TUXTLA,4,629,39,0.06200318
PLAZA,TUXTLA,5,825,53,0.064242424
PLAZA,VERACRUZ,1,2639,217,0.082228117
PLAZA,VERACRUZ,2,1926,154,0.079958463
PLAZA,VERACRUZ,3,2493,214,0.085840353
PLAZA,VERACRUZ,4,2073,176,0.08490111
PLAZA,VERACRUZ,5,2071,174,0.084017383
PLAZA,VILLAHERMOSA,1,335,16,0.047761194
PLAZA,VILLAHERMOSA,2,315,11,0.034920635
PLAZA,VILLAHERMOSA,3,330,18,0.054545455
PLAZA,VILLAHERMOSA,4,444,18,0.040540541
PLAZA,VILLAHERMOSA,5,418,21,0.050239234
PLAZA,XALAPA,1,1073,46,0.042870457
PLAZA,XALAPA,2,939,46,0.048988285
PLAZA,XALAPA,3,1259,49,0.038919778
PLAZA,XALAPA,4,1159,43,0.037100949
PLAZA,XALAPA,5,1042,56,0.053742802
DISTRITO,ACAPULCO,1,278,33,0.118705036
DISTRITO,ACAPULCO,2,231,21,0.090909091
DISTRITO,ACAPULCO,3,275,29,0.105454545
DISTRITO,ACAPULCO,4,268,23,0.085820896
DISTRITO,ACAPULCO,5,307,17,0.055374593
DISTRITO,AEROPUERTO,1,1453,160,0.110116999
DISTRITO,AEROPUERTO,2,1317,130,0.098709188
DISTRITO,AEROPUERTO,3,1496,171,0.114304813
DISTRITO,AEROPUERTO,4,1649,151,0.091570649
DISTRITO,AEROPUERTO,5,1815,153,0.084297521
DISTRITO,AGUASCALIENTES,1,1331,89,0.066867017
DISTRITO,AGUASCALIENTES,2,1372,65,0.047376093
DISTRITO,AGUASCALIENTES,3,1592,86,0.054020101
DISTRITO,AGUASCALIENTES,4,1583,98,0.06190777
DISTRITO,AGUASCALIENTES,5,1641,116,0.070688605
DISTRITO,ARAGON,1,2197,168,0.076467911
DISTRITO,ARAGON,2,1983,135,0.068078669
DISTRITO,ARAGON,3,2157,147,0.068150209
DISTRITO,ARAGON,4,2225,174,0.078202247
DISTRITO,ARAGON,5,2271,191,0.084103919
DISTRITO,AZCAPOTZALCO,1,1919,276,0.143824909
DISTRITO,AZCAPOTZALCO,2,1750,187,0.106857143
DISTRITO,AZCAPOTZALCO,3,2150,249,0.115813953
DISTRITO,AZCAPOTZALCO,4,2239,291,0.129968736
DISTRITO,AZCAPOTZALCO,5,2276,286,0.125659051
DISTRITO,CANCUN,1,2187,234,0.106995885
DISTRITO,CANCUN,2,2183,205,0.093907467
DISTRITO,CANCUN,3,2459,249,0.101260675
DISTRITO,CANCUN,4,2554,299,0.117071261
DISTRITO,CANCUN,5,2488,274,0.110128617
DISTRITO,CELAYA,1,737,49,0.066485753
DISTRITO,CELAYA,2,598,33,0.055183946
DISTRITO,CELAYA,3,623,40,0.064205457
DISTRITO,CELAYA,4,753,65,0.086321381
DISTRITO,CELAYA,5,837,74,0.088410992
DISTRITO,CENTRO HISTORICO,1,430,39,0.090697674
DISTRITO,CENTRO HISTORICO,2,587,55,0.093696763
DISTRITO,CENTRO HISTORICO,3,674,65,0.096439169
DISTRITO,CENTRO HISTORICO,4,639,71,0.111111111
DISTRITO,CENTRO HISTORICO,5,690,65,0.094202899
DISTRITO,CERRO GORDO,1,1612,194,0.120347395
DISTRITO,CERRO GORDO,2,1397,144,0.103078024
DISTRITO,CERRO GORDO,3,1646,152,0.092345079
DISTRITO,CERRO GORDO,4,1753,152,0.0867085
DISTRITO,CERRO GORDO,5,2346,203,0.086530264
DISTRITO,CHALCO,1,133,10,0.07518797
DISTRITO,CHALCO,2,211,12,0.056872038
DISTRITO,CHALCO,3,429,11,0.025641026
DISTRITO,CHALCO,4,418,22,0.052631579
DISTRITO,CHALCO,5,420,22,0.052380952
DISTRITO,CHIHUAHUA CUMBRES,1,832,76,0.091346154
DISTRITO,CHIHUAHUA CUMBRES,2,835,51,0.061077844
DISTRITO,CHIHUAHUA CUMBRES,3,842,57,0.067695962
DISTRITO,CHIHUAHUA CUMBRES,4,845,39,0.046153846
DISTRITO,CHIHUAHUA CUMBRES,5,850,42,0.049411765
DISTRITO,CHIHUAHUA DEL RELIZ,1,795,87,0.109433962
DISTRITO,CHIHUAHUA DEL RELIZ,2,1126,110,0.097690941
DISTRITO,CHIHUAHUA DEL RELIZ,3,1113,119,0.106918239
DISTRITO,CHIHUAHUA DEL RELIZ,4,1043,111,0.106423778
DISTRITO,CHIHUAHUA DEL RELIZ,5,1008,79,0.078373016
DISTRITO,CIUDAD OBREGON / NAVOJOA,1,242,22,0.090909091
DISTRITO,CIUDAD OBREGON / NAVOJOA,2,243,14,0.057613169
DISTRITO,CIUDAD OBREGON / NAVOJOA,3,232,13,0.056034483
DISTRITO,CIUDAD OBREGON / NAVOJOA,4,321,28,0.087227414
DISTRITO,CIUDAD OBREGON / NAVOJOA,5,314,22,0.070063694
DISTRITO,CIUDAD VICTORIA,3,3,0,0
DISTRITO,CIUDAD VICTORIA,4,40,2,0.05
DISTRITO,CIUDAD VICTORIA,5,120,5,0.041666667
DISTRITO,COACALCO,1,1960,198,0.101020408
DISTRITO,COACALCO,2,1755,163,0.092877493
DISTRITO,COACALCO,3,2121,191,0.090051862
DISTRITO,COACALCO,4,2028,185,0.09122288
DISTRITO,COACALCO,5,2256,234,0.103723404
DISTRITO,COATZA / MINA,1,571,40,0.070052539
DISTRITO,COATZA / MINA,2,533,49,0.091932458
DISTRITO,COATZA / MINA,3,511,33,0.064579256
DISTRITO,COATZA / MINA,4,544,40,0.073529412
DISTRITO,COATZA / MINA,5,598,47,0.078595318
DISTRITO,COLIMA / MANZANILLO,1,61,10,0.163934426
DISTRITO,COLIMA / MANZANILLO,2,66,10,0.151515152
DISTRITO,COLIMA / MANZANILLO,3,100,5,0.05
DISTRITO,COLIMA / MANZANILLO,4,133,14,0.105263158
DISTRITO,COLIMA / MANZANILLO,5,220,19,0.086363636
DISTRITO,CONDESA,1,1707,170,0.099589924
DISTRITO,CONDESA,2,1783,168,0.094223219
DISTRITO,CONDESA,3,1968,166,0.084349593
DISTRITO,CONDESA,4,2034,187,0.09193707
DISTRITO,CONDESA,5,2203,240,0.108942351
DISTRITO,CONSTITUCION,1,1234,134,0.108589951
DISTRITO,CONSTITUCION,2,1279,102,0.079749805
DISTRITO,CONSTITUCION,3,1304,112,0.085889571
DISTRITO,CONSTITUCION,4,1440,155,0.107638889
DISTRITO,CONSTITUCION,5,1922,174,0.090530697
DISTRITO,CORDOBA / ORIZABA,1,492,19,0.038617886
DISTRITO,CORDOBA / ORIZABA,2,494,12,0.024291498
DISTRITO,CORDOBA / ORIZABA,3,624,15,0.024038462
DISTRITO,CORDOBA / ORIZABA,4,520,14,0.026923077
DISTRITO,CORDOBA / ORIZABA,5,640,25,0.0390625
DISTRITO,CUERNAVACA BUGAMBILIAS,1,659,54,0.081942337
DISTRITO,CUERNAVACA BUGAMBILIAS,2,647,37,0.057187017
DISTRITO,CUERNAVACA BUGAMBILIAS,3,724,45,0.062154696
DISTRITO,CUERNAVACA BUGAMBILIAS,4,696,33,0.047413793
DISTRITO,CUERNAVACA BUGAMBILIAS,5,720,41,0.056944444
DISTRITO,CUERNAVACA DE CORTEZ,1,751,50,0.066577896
DISTRITO,CUERNAVACA DE CORTEZ,2,728,57,0.078296703
DISTRITO,CUERNAVACA DE CORTEZ,3,879,46,0.052332196
DISTRITO,CUERNAVACA DE CORTEZ,4,869,55,0.063291139
DISTRITO,CUERNAVACA DE CORTEZ,5,832,59,0.070913462
DISTRITO,CULIACAN,1,772,75,0.097150259
DISTRITO,CULIACAN,2,639,50,0.078247261
DISTRITO,CULIACAN,3,855,71,0.083040936
DISTRITO,CULIACAN,4,819,65,0.079365079
DISTRITO,CULIACAN,5,1089,106,0.097337006
DISTRITO,DELTA,1,2010,282,0.140298507
DISTRITO,DELTA,2,1764,239,0.135487528
DISTRITO,DELTA,3,2062,256,0.124151309
DISTRITO,DELTA,4,2176,316,0.145220588
DISTRITO,DELTA,5,2449,317,0.129440588
DISTRITO,ECATEPEC,1,1150,78,0.067826087
DISTRITO,ECATEPEC,2,1089,54,0.049586777
DISTRITO,ECATEPEC,3,1177,54,0.045879354
DISTRITO,ECATEPEC,4,1190,62,0.05210084
DISTRITO,ECATEPEC,5,1382,93,0.067293777
DISTRITO,GDL BARRANCA,1,2128,284,0.133458647
DISTRITO,GDL BARRANCA,2,2112,271,0.128314394
DISTRITO,GDL BARRANCA,3,2239,279,0.124609201
DISTRITO,GDL BARRANCA,4,2264,251,0.110865724
DISTRITO,GDL BARRANCA,5,2522,287,0.113798573
DISTRITO,GDL CHAPULTEPEC,1,2511,384,0.152927121
DISTRITO,GDL CHAPULTEPEC,2,2508,337,0.134370016
DISTRITO,GDL CHAPULTEPEC,3,2842,446,0.156931738
DISTRITO,GDL CHAPULTEPEC,4,2986,483,0.161754856
DISTRITO,GDL CHAPULTEPEC,5,2933,408,0.139106717
DISTRITO,GDL COLOMOS,1,2900,369,0.127241379
DISTRITO,GDL COLOMOS,2,3138,401,0.1277884
DISTRITO,GDL COLOMOS,3,3186,375,0.117702448
DISTRITO,GDL COLOMOS,4,3263,444,0.1360711
DISTRITO,GDL COLOMOS,5,3375,482,0.142814815
DISTRITO,GDL EL SALTO,5,3,0,0
DISTRITO,GDL EL TAPATIO,1,964,150,0.15560166
DISTRITO,GDL EL TAPATIO,2,1022,152,0.148727984
DISTRITO,GDL EL TAPATIO,3,1088,177,0.162683824
DISTRITO,GDL EL TAPATIO,4,994,137,0.137826962
DISTRITO,GDL EL TAPATIO,5,1179,179,0.151823579
DISTRITO,GDL ESTADIO,1,2226,229,0.102875112
DISTRITO,GDL ESTADIO,2,2294,230,0.100261552
DISTRITO,GDL ESTADIO,3,2394,218,0.091060986
DISTRITO,GDL ESTADIO,4,2913,304,0.104359767
DISTRITO,GDL ESTADIO,5,2831,284,0.100317909
DISTRITO,GDL LA PRIMAVERA,1,3220,576,0.178881988
DISTRITO,GDL LA PRIMAVERA,2,3005,446,0.148419301
