Nivel,NOMBRE,Year,SEMANA_REGISTRO,Calidad,Venta técnico,Productividad,Consumo de materiales,Positiva,Tarjetas,Year_Semana,TarjetasTotales
PLAZA,CIUDAD JUAREZ,2022,21,7,2,7,1,13,0,2022-21,11
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,21,3,1,2,1,5,0,2022-21,0
PLAZA,CIUDAD VICTORIA,2022,21,0,1,0,0,3,0,2022-21,0
PLAZA,CULIACAN,2022,21,3,0,1,0,3,0,2022-21,2
PLAZA,LA LAGUNA,2022,21,3,0,2,0,13,0,2022-21,0
PLAZA,MATAMOROS,2022,21,1,2,4,1,6,0,2022-21,0
PLAZA,MAZATLAN,2022,21,0,1,0,0,3,0,2022-21,0
PLAZA,MONTERREY,2022,21,6,9,14,0,39,2,2022-21,8
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,21,1,1,1,0,3,0,2022-21,0
PLAZA,REYNOSA,2022,21,1,0,2,0,1,0,2022-21,0
PLAZA,SALTILLO,2022,21,1,1,6,0,7,0,2022-21,2
PLAZA,SAN LUIS POTOSI,2022,21,1,5,1,0,11,0,2022-21,5
PLAZA,TAMPICO,2022,21,0,1,1,0,1,0,2022-21,0
PLAZA,TIJUANA,2022,21,2,0,4,0,8,0,2022-21,6
PLAZA,AGUASCALIENTES,2022,21,0,5,2,0,2,0,2022-21,0
PLAZA,GUADALAJARA,2022,21,6,13,11,0,47,5,2022-21,19
PLAZA,GUANAJUATO,2022,21,0,0,1,0,0,0,2022-21,0
PLAZA,IRAPUATO,2022,21,1,0,1,0,7,0,2022-21,0
PLAZA,LEON,2022,21,5,1,10,0,14,1,2022-21,4
PLAZA,MORELIA,2022,21,0,1,0,0,5,0,2022-21,0
PLAZA,PUERTO VALLARTA,2022,21,1,0,4,0,3,0,2022-21,0
PLAZA,QUERETARO,2022,21,2,0,1,0,2,0,2022-21,1
PLAZA,ACAPULCO,2022,21,0,0,0,0,4,0,2022-21,0
PLAZA,CANCUN,2022,21,2,1,3,0,14,0,2022-21,1
PLAZA,COATZA / MINA,2022,21,1,3,0,0,0,0,2022-21,0
PLAZA,CORDOBA / ORIZABA,2022,21,1,3,2,0,6,0,2022-21,0
PLAZA,CUERNAVACA,2022,21,5,4,0,0,7,0,2022-21,0
PLAZA,MERIDA,2022,21,5,3,5,0,8,0,2022-21,1
PLAZA,PACHUCA,2022,21,0,1,1,0,11,0,2022-21,0
PLAZA,POZA RICA,2022,21,0,1,2,0,3,0,2022-21,0
PLAZA,PUEBLA,2022,21,5,7,3,0,20,1,2022-21,1
PLAZA,TUXTLA,2022,21,1,0,5,0,3,0,2022-21,4
PLAZA,VERACRUZ,2022,21,5,0,7,2,5,0,2022-21,2
PLAZA,VILLAHERMOSA,2022,21,1,0,1,1,6,0,2022-21,0
PLAZA,XALAPA,2022,21,2,1,2,0,7,0,2022-21,0
PLAZA,CDMX,2022,22,51,43,54,6,223,6,2022-22,23
PLAZA,TOLUCA,2022,22,3,3,15,0,28,2,2022-22,2
PLAZA,CHIHUAHUA,2022,22,1,1,1,0,2,0,2022-22,0
PLAZA,CIUDAD JUAREZ,2022,22,2,2,7,0,7,0,2022-22,7
PLAZA,CIUDAD OBREGON / NAVOJOA,2022,22,4,1,2,1,6,0,2022-22,0
PLAZA,CIUDAD VICTORIA,2022,22,0,0,0,0,2,0,2022-22,0
PLAZA,CULIACAN,2022,22,4,0,1,0,3,0,2022-22,2
PLAZA,HERMOSILLO,2022,22,0,2,0,0,1,0,2022-22,0
PLAZA,LA LAGUNA,2022,22,3,1,0,1,14,0,2022-22,0
PLAZA,MATAMOROS,2022,22,2,0,4,1,6,0,2022-22,0
PLAZA,MAZATLAN,2022,22,0,0,0,0,5,0,2022-22,0
PLAZA,MEXICALI,2022,22,5,1,1,0,4,0,2022-22,0
PLAZA,MONTERREY,2022,22,4,6,4,5,38,0,2022-22,9
PLAZA,PIEDRAS NEGRAS / MONCLOVA,2022,22,0,1,0,0,3,0,2022-22,0
PLAZA,REYNOSA,2022,22,0,0,1,2,3,0,2022-22,0
