REGION,Fecha_Descarga,CDD,Addon,Soportes,Instalaciones,Recolecciones
CDMX NORPONIENTE,2024-08-01,448,547,846,550,1256
CDMX NORPONIENTE,2024-08-02,468,564,911,524,1275
CDMX NORPONIENTE,2024-08-03,459,572,972,551,1279
CDMX NORPONIENTE,2024-08-04,429,553,905,479,1239
CDMX NORPONIENTE,2024-08-05,398,507,844,481,1131
CDMX NORPONIENTE,2024-08-06,400,533,919,500,1158
CDMX NORPONIENTE,2024-08-07,409,541,945,533,1119
CDMX NORPONIENTE,2024-08-08,413,545,968,536,1107
CDMX NORPONIENTE,2024-08-09,417,510,964,576,1134
CDMX NORPONIENTE,2024-08-10,413,494,898,593,1095
CDMX NORPONIENTE,2024-08-11,383,479,852,516,1035
CDMX NORPONIENTE,2024-08-12,356,433,756,501,953
CDMX NORPONIENTE,2024-08-13,356,457,796,539,986
CDMX NORPONIENTE,2024-08-14,363,460,770,644,976
CDMX NORPONIENTE,2024-08-15,376,473,817,647,980
CDMX NORPONIENTE,2024-08-16,403,479,779,598,1006
CDMX NORPONIENTE,2024-08-17,428,484,805,627,1059
CDMX NORPONIENTE,2024-08-18,403,463,832,542,1024
CDMX NORPONIENTE,2024-08-19,388,474,787,451,1059
CDMX NORPONIENTE,2024-08-20,377,516,858,541,1109
CDMX NORPONIENTE,2024-08-21,368,521,812,560,1124
CDMX NORPONIENTE,2024-08-22,358,520,756,613,1124
CDMX NORPONIENTE,2024-08-23,397,528,771,620,1159
CDMX NORPONIENTE,2024-08-24,396,477,781,624,1166
CDMX NORPONIENTE,2024-08-25,357,429,727,541,1077
CDMX NORPONIENTE,2024-08-26,332,368,658,507,973
CDMX NORPONIENTE,2024-08-28,382,377,715,644,1040
CDMX NORPONIENTE,2024-08-29,410,395,633,667,969
CDMX NORPONIENTE,2024-08-30,445,372,709,664,912
CDMX NORPONIENTE,2024-08-31,437,345,726,637,872
CDMX NORPONIENTE,2024-09-01,433,337,768,497,852
CDMX NORPONIENTE,2024-09-02,405,322,685,481,772
CDMX NORPONIENTE,2024-09-03,382,348,761,535,769
CDMX NORPONIENTE,2024-09-04,412,414,811,571,763
CDMX NORPONIENTE,2024-09-05,403,404,824,563,788
CDMX NORPONIENTE,2024-09-06,399,411,790,598,766
CDMX NORPONIENTE,2024-09-07,395,384,756,658,728
CDMX NORPONIENTE,2024-09-08,345,370,654,549,687
CDMX NORPONIENTE,2024-09-09,294,335,610,521,637
CDMX NORPONIENTE,2024-09-10,315,346,599,560,667
CDMX NORPONIENTE,2024-09-11,325,320,511,550,674
CDMX NORPONIENTE,2024-09-12,317,316,497,553,679
CDMX NORPONIENTE,2024-09-13,311,282,478,604,673
CDMX NORPONIENTE,2024-09-14,294,261,500,605,590
CDMX NORPONIENTE,2024-09-15,274,263,543,516,592
CDMX NORPONIENTE,2024-09-16,261,261,542,469,576
CDMX NORPONIENTE,2024-09-17,281,294,787,518,646
CDMX NORPONIENTE,2024-09-18,293,338,834,564,715
CDMX NORPONIENTE,2024-09-19,309,339,813,543,705
CDMX NORPONIENTE,2024-09-20,315,371,747,613,788
CDMX NORPONIENTE,2024-09-21,337,395,742,621,791
CDMX NORPONIENTE,2024-09-22,318,418,631,546,820
CDMX NORPONIENTE,2024-09-23,297,371,559,540,792
CDMX NORPONIENTE,2024-09-24,325,405,579,619,855
CDMX NORPONIENTE,2024-09-25,344,409,658,638,951
CDMX NORPONIENTE,2024-09-26,383,410,589,618,976
CDMX NORPONIENTE,2024-09-27,397,392,484,640,969
CDMX NORPONIENTE,2024-09-28,394,351,459,630,794
CDMX NORPONIENTE,2024-09-29,389,335,443,543,807
CDMX NORPONIENTE,2024-10-01,358,343,607,531,875
CDMX NORPONIENTE,2024-10-02,340,380,625,553,804
CDMX NORPONIENTE,2024-10-03,371,394,578,525,859
CDMX NORPONIENTE,2024-10-04,368,400,569,557,884
CDMX NORPONIENTE,2024-10-05,346,343,517,559,818
CDMX NORPONIENTE,2024-10-06,326,296,384,453,769
CDMX NORPONIENTE,2024-10-07,280,223,415,435,674
CDMX NORPONIENTE,2024-10-08,281,255,437,525,670
CDMX NORPONIENTE,2024-10-09,288,270,495,514,675
CDMX NORPONIENTE,2024-10-10,283,278,511,516,701
CDMX NORPONIENTE,2024-10-11,268,274,500,481,652
CDMX NORPONIENTE,2024-10-12,268,279,461,474,606
CDMX NORPONIENTE,2024-10-13,240,235,409,404,533
CDMX NORPONIENTE,2024-10-14,217,211,377,381,449
CDMX NORPONIENTE,2024-10-15,199,198,397,482,412
CDMX NORPONIENTE,2024-10-16,209,237,459,439,448
CDMX NORPONIENTE,2024-10-17,212,220,517,418,498
CDMX NORPONIENTE,2024-10-18,228,213,444,395,514
CDMX NORPONIENTE,2024-10-19,227,189,402,423,482
CDMX NORPONIENTE,2024-10-20,202,168,336,339,429
CDMX NORPONIENTE,2024-10-21,191,141,320,301,366
