Tipo,DIRECCION,Mes,Clientes,Soportes,Reincidencias,RR,Reincidencias sobre soportes,RR sobre soportes,IDS,IDR,YEAR
PLAZA,MATAMOROS,ENERO,14466,344,65,16,18.9,4.65,2.38,0.45,2023
PLAZA,MATAMOROS,FEBRERO,16388,574,174,44,30.31,7.67,3.5,1.06,2023
PLAZA,MATAMOROS,MARZO,16896,553,205,45,37.07,8.14,3.27,1.21,2023
PLAZA,MATAMOROS,ABRIL,18328,751,247,77,32.89,10.25,4.1,1.35,2023
PLAZA,MATAMOROS,MAYO,19877,1259,442,226,35.11,17.95,6.33,2.22,2023
PLAZA,MATAMOROS,JUNIO,21196,801,298,132,37.2,16.48,3.78,1.41,2023
PLAZA,MAZATLAN,ENERO,19806,782,267,84,34.14,10.74,3.95,1.35,2022
PLAZA,MAZATLAN,FEBRERO,20709,683,235,75,34.41,10.98,3.3,1.13,2022
PLAZA,MAZATLAN,MARZO,21830,716,218,62,30.45,8.66,3.28,1,2022
PLAZA,MAZATLAN,ABRIL,22721,612,158,52,25.82,8.5,2.69,0.7,2022
PLAZA,MAZATLAN,MAYO,23448,707,186,55,26.31,7.78,3.02,0.79,2022
PLAZA,MAZATLAN,JUNIO,26635,734,188,64,25.61,8.72,2.76,0.71,2022
PLAZA,MAZATLAN,JULIO,26635,892,259,89,29.04,9.98,3.35,0.97,2022
PLAZA,MAZATLAN,AGOSTO,26635,1066,296,98,27.77,9.19,4,1.11,2022
PLAZA,MAZATLAN,SEPTIEMBRE,26635,965,248,81,25.7,8.39,3.62,0.93,2022
PLAZA,MAZATLAN,OCTUBRE,26635,806,208,91,25.81,11.29,3.03,0.78,2022
PLAZA,MAZATLAN,NOVIEMBRE,26635,673,182,62,27.04,9.21,2.53,0.68,2022
PLAZA,MAZATLAN,DICIEMBRE,26635,700,176,52,25.14,7.43,2.63,0.66,2022
PLAZA,MAZATLAN,ENERO,26784,780,193,75,24.74,9.62,2.91,0.72,2023
PLAZA,MAZATLAN,FEBRERO,26940,669,179,63,26.76,9.42,2.48,0.66,2023
PLAZA,MAZATLAN,MARZO,27311,773,205,75,26.52,9.7,2.83,0.75,2023
PLAZA,MAZATLAN,ABRIL,27475,784,253,88,32.27,11.22,2.85,0.92,2023
PLAZA,MAZATLAN,MAYO,27573,810,199,86,24.57,10.62,2.94,0.72,2023
PLAZA,MAZATLAN,JUNIO,27619,843,211,103,25.03,12.22,3.05,0.76,2023
PLAZA,MERIDA,ENERO,49320,2229,630,246,28.26,11.04,4.52,1.28,2022
PLAZA,MERIDA,FEBRERO,50800,2146,635,232,29.59,10.81,4.22,1.25,2022
PLAZA,MERIDA,MARZO,52043,2668,811,292,30.4,10.94,5.13,1.56,2022
PLAZA,MERIDA,ABRIL,52921,2366,674,250,28.49,10.57,4.47,1.27,2022
PLAZA,MERIDA,MAYO,53835,2252,607,240,26.95,10.66,4.18,1.13,2022
PLAZA,MERIDA,JUNIO,58805,2273,475,226,20.9,9.94,3.87,0.81,2022
PLAZA,MERIDA,JULIO,58805,2211,521,246,23.56,11.13,3.76,0.89,2022
PLAZA,MERIDA,AGOSTO,58805,2516,606,291,24.09,11.57,4.28,1.03,2022
PLAZA,MERIDA,SEPTIEMBRE,58805,2173,539,275,24.8,12.66,3.7,0.92,2022
PLAZA,MERIDA,OCTUBRE,58805,2022,508,232,25.12,11.47,3.44,0.86,2022
PLAZA,MERIDA,NOVIEMBRE,58805,2158,532,193,24.65,8.94,3.67,0.9,2022
PLAZA,MERIDA,DICIEMBRE,58805,2096,464,202,22.14,9.64,3.56,0.79,2022
PLAZA,MERIDA,ENERO,59101,2496,386,288,15.46,11.54,4.22,0.65,2023
PLAZA,MERIDA,FEBRERO,59774,2364,561,236,23.73,9.98,3.95,0.94,2023
PLAZA,MERIDA,MARZO,60882,3059,862,421,28.18,13.76,5.02,1.42,2023
PLAZA,MERIDA,ABRIL,61594,2710,872,374,32.18,13.8,4.4,1.42,2023
PLAZA,MERIDA,MAYO,62097,3091,891,437,28.83,14.14,4.98,1.43,2023
PLAZA,MERIDA,JUNIO,62409,2932,804,392,27.42,13.37,4.7,1.29,2023
PLAZA,MEXICALI,ENERO,35285,945,257,66,27.2,6.98,2.68,0.73,2022
PLAZA,MEXICALI,FEBRERO,36430,980,255,86,26.02,8.78,2.69,0.7,2022
PLAZA,MEXICALI,MARZO,37659,1219,352,90,28.88,7.38,3.24,0.93,2022
PLAZA,MEXICALI,ABRIL,38505,1076,300,97,27.88,9.01,2.79,0.78,2022
PLAZA,MEXICALI,MAYO,39434,1404,388,142,27.64,10.11,3.56,0.98,2022
PLAZA,MEXICALI,JUNIO,42688,1323,218,121,16.48,9.15,3.1,0.51,2022
PLAZA,MEXICALI,JULIO,42688,1347,273,110,20.27,8.17,3.16,0.64,2022
PLAZA,MEXICALI,AGOSTO,42688,2011,447,239,22.23,11.88,4.71,1.05,2022
PLAZA,MEXICALI,SEPTIEMBRE,42688,1791,396,253,22.11,14.13,4.2,0.93,2022
PLAZA,MEXICALI,OCTUBRE,42688,2185,505,303,23.11,13.87,5.12,1.18,2022
PLAZA,MEXICALI,NOVIEMBRE,42688,1548,438,233,28.29,15.05,3.63,1.03,2022
PLAZA,MEXICALI,DICIEMBRE,42688,1447,400,227,27.64,15.69,3.39,0.94,2022
PLAZA,MEXICALI,ENERO,42924,1441,322,207,22.35,14.37,3.36,0.75,2023
PLAZA,MEXICALI,FEBRERO,43312,1424,344,176,24.16,12.36,3.29,0.79,2023
PLAZA,MEXICALI,MARZO,43949,1794,445,264,24.8,14.72,4.08,1.01,2023
PLAZA,MEXICALI,ABRIL,44179,1610,427,227,26.52,14.1,3.64,0.97,2023
PLAZA,MEXICALI,MAYO,44332,1619,443,224,27.36,13.84,3.65,1,2023
PLAZA,MEXICALI,JUNIO,44710,1520,438,228,28.82,15,3.4,0.98,2023
PLAZA,MONTERREY,ENERO,248729,11611,3685,1683,31.74,14.49,4.67,1.48,2022
PLAZA,MONTERREY,FEBRERO,255998,10578,3331,1558,31.49,14.73,4.13,1.3,2022
PLAZA,MONTERREY,MARZO,262883,11469,3440,1568,29.99,13.67,4.36,1.31,2022
PLAZA,MONTERREY,ABRIL,268557,12409,3593,1921,28.95,15.48,4.62,1.34,2022
PLAZA,MONTERREY,MAYO,275077,13355,3648,1815,27.32,13.59,4.86,1.33,2022
PLAZA,MONTERREY,JUNIO,292445,13055,3010,2021,23.06,15.48,4.46,1.03,2022
PLAZA,MONTERREY,JULIO,292445,12507,3472,1872,27.76,14.97,4.28,1.19,2022
PLAZA,MONTERREY,AGOSTO,292445,14415,4110,2148,28.51,14.9,4.93,1.41,2022
PLAZA,MONTERREY,SEPTIEMBRE,292445,14931,4251,2392,28.47,16.02,5.11,1.45,2022
PLAZA,MONTERREY,OCTUBRE,292445,12353,3827,1999,30.98,16.18,4.22,1.31,2022
PLAZA,MONTERREY,NOVIEMBRE,292445,12022,3408,1845,28.35,15.35,4.11,1.17,2022
PLAZA,MONTERREY,DICIEMBRE,292445,10983,3094,1649,28.17,15.01,3.76,1.06,2022
PLAZA,MONTERREY,ENERO,293834,11430,2422,1760,21.19,15.4,3.89,0.82,2023
PLAZA,MONTERREY,FEBRERO,295988,12380,2890,1829,23.34,14.77,4.18,0.98,2023
PLAZA,MONTERREY,MARZO,299215,14417,4085,2546,28.33,17.66,4.82,1.37,2023
PLAZA,MONTERREY,ABRIL,301528,13919,3896,2207,27.99,15.86,4.62,1.29,2023
PLAZA,MONTERREY,MAYO,303617,15831,4602,3049,29.07,19.26,5.21,1.52,2023
PLAZA,MONTERREY,JUNIO,303777,15175,4451,2724,29.33,17.95,5,1.47,2023
PLAZA,MORELIA,ENERO,25776,567,157,29,27.69,5.11,2.2,0.61,2022
PLAZA,MORELIA,FEBRERO,26317,533,155,38,29.08,7.13,2.03,0.59,2022
PLAZA,MORELIA,MARZO,26794,636,150,41,23.58,6.45,2.37,0.56,2022
PLAZA,MORELIA,ABRIL,27140,588,142,33,24.15,5.61,2.17,0.52,2022
PLAZA,MORELIA,MAYO,27603,616,109,27,17.69,4.38,2.23,0.39,2022
PLAZA,MORELIA,JUNIO,29758,712,103,28,14.47,3.93,2.39,0.35,2022
PLAZA,MORELIA,JULIO,29758,765,162,40,21.18,5.23,2.57,0.54,2022
PLAZA,MORELIA,AGOSTO,29758,755,151,35,20,4.64,2.54,0.51,2022
PLAZA,MORELIA,SEPTIEMBRE,29758,717,170,33,23.71,4.6,2.41,0.57,2022
