Temporalidad,Tipo,DIRECCION,Semana,Incumplimiento,Soporte,Instalación,Cambio de domicilio,Adicionales,PorcIncumTotAgendado
DIARIA,NACIONAL,NACIONAL,2022-12-27,1609,0,0,0,0,0.0863939003436426
DIARIA,NACIONAL,NACIONAL,2022-12-28,1756,0,0,0,0,0.0908009721288588
DIARIA,NACIONAL,NACIONAL,2022-12-29,1776,0,0,0,0,0.0913627244199804
DIARIA,NACIONAL,NACIONAL,2022-12-30,1874,0,0,0,0,0.0961518727552591
DIARIA,NACIONAL,NACIONAL,2022-12-31,1479,0,0,0,0,0.0945229117402697
DIARIA,NACIONAL,NACIONAL,2023-01-01,0,223,0,0,0,0.0280679672750157
DIARIA,NACIONAL,NACIONAL,2023-01-02,0,620,0,0,0,0.0336919900010868
DIARIA,NACIONAL,NACIONAL,2023-01-03,0,668,0,0,0,0.0326810176125245
DIARIA,NACIONAL,NACIONAL,2023-01-04,0,787,0,0,0,0.0368756442695155
DIARIA,NACIONAL,NACIONAL,2023-01-05,0,757,0,0,0,0.0366816882298784
DIARIA,NACIONAL,NACIONAL,2023-01-06,0,721,0,0,0,0.225031210986267
DIARIA,NACIONAL,NACIONAL,2023-01-07,0,599,0,0,0,0.0288786037990551
DIARIA,NACIONAL,NACIONAL,2023-01-08,0,434,0,0,0,0.0268381670892338
DIARIA,NACIONAL,NACIONAL,2023-01-09,0,580,0,0,0,0.029359655783346
DIARIA,NACIONAL,NACIONAL,2023-01-10,0,587,0,0,0,0.0285450301497763
DIARIA,NACIONAL,NACIONAL,2023-01-11,0,569,0,0,0,0.0281725008664653
DIARIA,NACIONAL,NACIONAL,2023-01-12,0,563,0,0,0,0.0280420381531105
DIARIA,NACIONAL,NACIONAL,2023-01-13,0,573,0,0,0,0.0284494315078695
DIARIA,NACIONAL,NACIONAL,2023-01-14,0,667,0,0,0,0.0328134992866631
DIARIA,NACIONAL,NACIONAL,2023-01-15,0,540,0,0,0,0.0328048113723346
DIARIA,NACIONAL,NACIONAL,2023-01-16,0,766,0,0,0,0.0370298752779658
DIARIA,NACIONAL,NACIONAL,2023-01-17,0,954,0,0,0,0.0440179024592811
DIARIA,NACIONAL,NACIONAL,2023-01-18,0,446,220,255,106,0.0475661155110926
DIARIA,NACIONAL,NACIONAL,2023-01-19,0,571,247,283,90,0.053750338478202
DIARIA,NACIONAL,NACIONAL,2023-01-20,0,527,299,309,104,0.0558158392647986
DIARIA,NACIONAL,NACIONAL,2023-01-21,0,495,220,318,83,0.049644128113879
DIARIA,NACIONAL,NACIONAL,2023-01-22,0,338,177,242,55,0.0461835968604254
DIARIA,NACIONAL,NACIONAL,2023-01-23,0,524,237,362,119,0.0564904939506959
DIARIA,NACIONAL,NACIONAL,2023-01-24,0,451,224,297,96,0.0491735346931258
DIARIA,NACIONAL,NACIONAL,2023-01-25,0,478,257,276,86,0.0512257763250058
DIARIA,NACIONAL,NACIONAL,2023-01-26,0,348,218,245,84,0.0408825141604239
DIARIA,NACIONAL,NACIONAL,2023-01-27,0,338,211,274,83,0.0414304005853302
DIARIA,NACIONAL,NACIONAL,2023-01-28,0,289,199,250,69,0.0383591596159331
DIARIA,NACIONAL,NACIONAL,2023-01-29,0,287,127,196,32,0.0378336967411162
DIARIA,NACIONAL,NACIONAL,2023-01-30,0,324,208,306,59,0.0427203886269467
DIARIA,NACIONAL,NACIONAL,2023-01-31,0,355,194,264,60,0.0415140995767749
DIARIA,NACIONAL,NACIONAL,2023-02-01,0,402,226,247,59,0.0453750485814225
DIARIA,NACIONAL,NACIONAL,2023-02-02,0,378,194,256,59,0.0549090008666584
DIARIA,NACIONAL,NACIONAL,2023-02-03,0,383,200,286,71,0.0457354157543911
DIARIA,NACIONAL,NACIONAL,2023-02-04,0,360,175,252,67,0.0418730080902182
DIARIA,NACIONAL,NACIONAL,2023-02-05,0,289,124,222,31,0.0407613685048045
DIARIA,NACIONAL,NACIONAL,2023-02-06,0,343,182,311,57,0.0473740053050398
DIARIA,NACIONAL,NACIONAL,2023-02-07,0,401,192,320,77,0.0478584549937156
DIARIA,NACIONAL,NACIONAL,2023-02-08,0,396,161,250,81,0.0439038860872145
DIARIA,NACIONAL,NACIONAL,2023-02-09,0,324,195,209,76,0.0398394529507953
DIARIA,NACIONAL,NACIONAL,2023-02-10,0,401,198,232,71,0.0440064399668244
DIARIA,NACIONAL,NACIONAL,2023-02-11,0,399,200,184,56,0.0405216131369234
DIARIA,NACIONAL,NACIONAL,2023-02-12,0,294,148,153,28,0.0386884431472396
DIARIA,NACIONAL,NACIONAL,2023-02-13,0,351,244,244,66,0.0455460493205838
DIARIA,NACIONAL,NACIONAL,2023-02-14,0,305,209,175,63,0.0393573036060083
DIARIA,NACIONAL,NACIONAL,2023-02-15,0,366,215,182,57,0.0422636841562725
DIARIA,NACIONAL,NACIONAL,2023-02-16,0,473,177,171,77,0.0454683544303797
DIARIA,NACIONAL,NACIONAL,2023-02-17,0,460,230,199,59,0.0478787878787879
DIARIA,NACIONAL,NACIONAL,2023-02-18,0,411,184,173,70,0.0417351461726182
DIARIA,NACIONAL,NACIONAL,2023-02-19,0,350,118,162,25,0.0421005270600334
DIARIA,NACIONAL,NACIONAL,2023-02-20,0,478,210,208,94,0.0503176620076239
DIARIA,NACIONAL,NACIONAL,2023-02-21,0,482,219,216,59,0.0494077148931862
DIARIA,NACIONAL,NACIONAL,2023-02-22,0,512,212,196,81,-
DIARIA,NACIONAL,NACIONAL,2023-02-23,0,593,172,184,43,0.0493360521211518
DIARIA,NACIONAL,NACIONAL,2023-02-24,0,693,201,216,64,0.057724456682073
DIARIA,NACIONAL,NACIONAL,2023-02-25,0,547,159,171,56,0.0453154597114964
DIARIA,NACIONAL,NACIONAL,2023-02-26,0,410,113,196,44,0.0480993506902856
DIARIA,NACIONAL,NACIONAL,2023-02-27,0,657,209,285,71,0.0597233761790724
DIARIA,NACIONAL,NACIONAL,2023-02-28,0,660,212,260,76,0.0577714012434242
DIARIA,NACIONAL,NACIONAL,2023-03-01,0,674,237,296,56,0.0625123737873688
DIARIA,NACIONAL,NACIONAL,2023-03-02,0,734,271,336,73,0.0673076923076923
DIARIA,NACIONAL,NACIONAL,2023-03-03,0,804,267,395,93,0.0732027985162229
DIARIA,NACIONAL,NACIONAL,2023-03-04,0,751,224,351,78,0.0668826219512195
DIARIA,NACIONAL,NACIONAL,2023-03-05,0,672,149,277,38,0.0694843721328522
DIARIA,NACIONAL,NACIONAL,2023-03-06,0,940,256,373,89,0.0834381762367269
DIARIA,NACIONAL,NACIONAL,2023-03-07,0,841,251,333,89,0.0745886294216179
DIARIA,NACIONAL,NACIONAL,2023-03-08,0,776,232,279,76,0.0661169051661412
DIARIA,NACIONAL,NACIONAL,2023-03-09,0,706,184,251,86,0.0591382301908618
DIARIA,NACIONAL,NACIONAL,2023-03-10,0,604,204,239,71,0.0548657800461304
DIARIA,NACIONAL,NACIONAL,2023-03-11,0,580,175,240,65,0.0503491188904194
DIARIA,NACIONAL,NACIONAL,2023-03-12,0,466,125,217,53,0.0499477897667943
DIARIA,NACIONAL,NACIONAL,2023-03-13,0,635,223,306,95,0.0625434674615002
DIARIA,NACIONAL,NACIONAL,2023-03-14,0,587,234,247,85,0.0568092234923138
DIARIA,NACIONAL,NACIONAL,2023-03-15,0,474,195,218,88,0.0486284289276808
DIARIA,NACIONAL,NACIONAL,2023-03-16,0,531,279,233,94,0.0561647895672792
DIARIA,NACIONAL,NACIONAL,2023-03-17,0,547,312,208,103,0.0537338109672086
DIARIA,NACIONAL,NACIONAL,2023-03-18,0,519,264,239,83,0.0500997461008342
DIARIA,NACIONAL,NACIONAL,2023-03-19,0,335,185,224,61,0.0446899461500028
DIARIA,NACIONAL,NACIONAL,2023-03-20,0,566,288,356,126,0.0651230806726785
DIARIA,NACIONAL,NACIONAL,2023-03-21,0,539,316,306,125,0.0586759136743167
DIARIA,NACIONAL,NACIONAL,2023-03-22,0,489,238,227,107,0.0497794876606925
DIARIA,NACIONAL,NACIONAL,2023-03-23,0,433,239,192,93,0.0452931989209144
DIARIA,NACIONAL,NACIONAL,2023-03-24,0,454,191,185,74,0.0430599218824426
DIARIA,NACIONAL,NACIONAL,2023-03-25,0,403,237,175,84,0.0419309701492537
DIARIA,NACIONAL,NACIONAL,2023-03-26,0,344,176,170,60,0.0438955870303172
DIARIA,NACIONAL,NACIONAL,2023-03-27,0,394,242,221,70,0.0460255200834119
DIARIA,NACIONAL,NACIONAL,2023-03-28,0,316,194,121,68,0.0350621990369181
DIARIA,NACIONAL,NACIONAL,2023-03-29,0,331,186,111,44,0.0325597170405543
DIARIA,NACIONAL,NACIONAL,2023-03-30,0,381,195,136,58,0.0382646722655668
DIARIA,NACIONAL,NACIONAL,2023-03-31,0,417,195,180,58,0.0395772221446198
DIARIA,NACIONAL,NACIONAL,2023-04-01,0,421,258,210,52,0.0454765126618983
DIARIA,NACIONAL,NACIONAL,2023-04-02,0,363,154,180,54,0.0438514539296975
DIARIA,NACIONAL,NACIONAL,2023-04-03,0,483,274,306,77,0.0518629725672171
DIARIA,NACIONAL,NACIONAL,2023-04-04,0,552,329,225,73,0.0556079615130648
DIARIA,NACIONAL,NACIONAL,2023-04-05,0,558,306,221,80,0.0578307272275999
DIARIA,NACIONAL,NACIONAL,2023-04-06,0,679,293,213,87,0.0657568238213399
DIARIA,NACIONAL,NACIONAL,2023-04-07,0,475,169,188,59,0.0548307692307692
DIARIA,NACIONAL,NACIONAL,2023-04-08,0,423,135,160,26,0.0493237867939539
DIARIA,NACIONAL,NACIONAL,2023-04-09,0,355,120,134,26,0.0500670188441221
DIARIA,NACIONAL,NACIONAL,2023-04-10,0,639,190,244,62,0.0670288785212307
DIARIA,NACIONAL,NACIONAL,2023-04-11,0,597,169,197,53,0.0548270465706114
DIARIA,NACIONAL,NACIONAL,2023-04-12,0,501,181,165,76,0.0505919754439816
DIARIA,NACIONAL,NACIONAL,2023-04-13,0,516,183,133,53,0.0473768736616702
DIARIA,NACIONAL,NACIONAL,2023-04-14,0,477,187,114,47,0.0436138718545147
DIARIA,NACIONAL,NACIONAL,2023-04-15,0,471,199,166,49,0.044481302774427
DIARIA,NACIONAL,NACIONAL,2023-04-16,0,400,173,154,47,0.0467899891186072
DIARIA,NACIONAL,NACIONAL,2023-04-17,0,578,307,224,68,0.0613404210965187
DIARIA,NACIONAL,NACIONAL,2023-04-18,0,564,276,170,81,0.0586180958521384
DIARIA,NACIONAL,NACIONAL,2023-04-19,0,478,242,142,79,0.048348147767559
DIARIA,NACIONAL,NACIONAL,2023-04-20,0,467,236,162,89,0.0519636145759573
DIARIA,NACIONAL,NACIONAL,2023-04-21,0,516,226,151,59,-
DIARIA,NACIONAL,NACIONAL,2023-04-22,0,447,193,116,58,-
DIARIA,NACIONAL,NACIONAL,2023-04-23,0,391,161,82,24,-
DIARIA,NACIONAL,NACIONAL,2023-04-24,0,572,260,153,65,-
DIARIA,NACIONAL,NACIONAL,2023-04-25,0,615,238,162,72,-
DIARIA,NACIONAL,NACIONAL,2023-04-26,0,520,193,146,64,-
DIARIA,NACIONAL,NACIONAL,2023-04-27,0,504,194,106,53,-
DIARIA,NACIONAL,NACIONAL,2023-04-28,0,423,182,151,55,-
DIARIA,NACIONAL,NACIONAL,2023-04-29,0,487,190,198,58,-
DIARIA,NACIONAL,NACIONAL,2023-04-30,0,456,197,203,34,-
DIARIA,NACIONAL,NACIONAL,2023-05-01,0,690,290,329,88,-
DIARIA,NACIONAL,NACIONAL,2023-05-02,0,700,306,363,93,-
DIARIA,NACIONAL,NACIONAL,2023-05-03,0,607,256,269,98,-
DIARIA,NACIONAL,NACIONAL,2023-05-04,0,619,220,238,102,-
DIARIA,NACIONAL,NACIONAL,2023-05-05,0,570,232,192,79,-
DIARIA,NACIONAL,NACIONAL,2023-05-06,0,493,222,179,71,-
DIARIA,NACIONAL,NACIONAL,2023-05-07,0,323,129,130,30,-
DIARIA,NACIONAL,NACIONAL,2023-05-08,0,462,234,191,78,-
DIARIA,NACIONAL,NACIONAL,2023-05-09,0,430,184,151,42,-
DIARIA,NACIONAL,NACIONAL,2023-05-10,0,334,140,97,45,-
DIARIA,NACIONAL,NACIONAL,2023-05-11,0,391,141,108,40,-
DIARIA,NACIONAL,NACIONAL,2023-05-12,0,344,150,93,57,-
DIARIA,NACIONAL,NACIONAL,2023-05-13,0,343,154,117,43,-
DIARIA,NACIONAL,NACIONAL,2023-05-14,0,353,139,96,34,-
DIARIA,NACIONAL,NACIONAL,2023-05-15,0,488,203,187,63,-
DIARIA,NACIONAL,NACIONAL,2023-05-16,0,629,286,204,79,-
DIARIA,NACIONAL,NACIONAL,2023-05-17,0,544,198,162,101,-
DIARIA,NACIONAL,NACIONAL,2023-05-18,0,574,199,202,94,-
DIARIA,NACIONAL,NACIONAL,2023-05-19,0,505,204,194,69,0.0379702332122349
DIARIA,NACIONAL,NACIONAL,2023-05-20,0,404,163,152,72,0.029720082660154
DIARIA,NACIONAL,NACIONAL,2023-05-21,0,388,171,140,63,0.0330442324371206
DIARIA,NACIONAL,NACIONAL,2023-05-22,0,599,270,232,114,0.0470802495446972
DIARIA,NACIONAL,NACIONAL,2023-05-23,0,579,195,181,105,0.0414970247416223
DIARIA,NACIONAL,NACIONAL,2023-05-24,0,560,192,130,91,0.0378084320963668
DIARIA,NACIONAL,NACIONAL,2023-05-25,0,582,179,114,99,0.0382846586219095
DIARIA,NACIONAL,NACIONAL,2023-05-26,0,521,225,144,80,0.0376874660035745
DIARIA,NACIONAL,NACIONAL,2023-05-27,0,467,245,158,75,0.0368306181307974
DIARIA,NACIONAL,NACIONAL,2023-05-28,0,376,171,143,65,0.0343291047151366
DIARIA,NACIONAL,NACIONAL,2023-05-29,0,658,257,201,103,0.0503823103947097
DIARIA,NACIONAL,NACIONAL,2023-05-30,0,761,283,185,93,0.0525917969526992
DIARIA,NACIONAL,NACIONAL,2023-05-31,0,928,306,198,94,0.0593358737071312
DIARIA,NACIONAL,NACIONAL,2023-06-01,0,879,310,240,119,0.0620266858997476
DIARIA,NACIONAL,NACIONAL,2023-06-02,0,831,315,259,112,0.062287004721823
DIARIA,NACIONAL,NACIONAL,2023-06-03,0,703,292,245,79,0.0519352679450329
DIARIA,NACIONAL,NACIONAL,2023-06-04,0,478,234,204,55,0.0429247159718845
DIARIA,NACIONAL,NACIONAL,2023-06-05,0,752,395,305,145,0.0639337043116218
DIARIA,NACIONAL,NACIONAL,2023-06-06,0,719,414,235,139,0.0808780121290184
DIARIA,NACIONAL,NACIONAL,2023-06-07,0,734,306,228,105,0.0564463081729979
DIARIA,NACIONAL,NACIONAL,2023-06-08,0,741,319,182,116,0.0557059643941259
DIARIA,NACIONAL,NACIONAL,2023-06-09,0,683,291,215,119,0.0536813592711155
DIARIA,NACIONAL,NACIONAL,2023-06-10,0,613,248,222,107,0.0483209485524018
DIARIA,NACIONAL,NACIONAL,2023-06-11,0,471,243,153,53,0.043261544249036
DIARIA,NACIONAL,NACIONAL,2023-06-12,0,719,372,218,122,0.0674300254452926
DIARIA,NACIONAL,NACIONAL,2023-06-13,0,824,314,255,138,0.0617189389663791
DIARIA,NACIONAL,NACIONAL,2023-06-14,0,889,343,221,183,0.0636947634806307
DIARIA,NACIONAL,NACIONAL,2023-06-15,0,865,379,229,122,0.0639714434684956
DIARIA,NACIONAL,NACIONAL,2023-06-16,0,945,396,247,122,0.0678571428571429
DIARIA,NACIONAL,NACIONAL,2023-06-17,0,989,335,270,120,0.0663081743974622
DIARIA,NACIONAL,NACIONAL,2023-06-18,0,753,254,196,74,0.0611677923073239
DIARIA,NACIONAL,NACIONAL,2023-06-19,0,1225,485,361,189,0.0907594072527208
DIARIA,NACIONAL,NACIONAL,2023-06-20,0,1228,469,336,167,0.0865869017632242
DIARIA,NACIONAL,NACIONAL,2023-06-21,0,1124,390,239,140,0.0741625857002938
DIARIA,NACIONAL,NACIONAL,2023-06-22,0,1065,375,279,223,0.0766226080094693
DIARIA,NACIONAL,NACIONAL,2023-06-23,0,1055,350,299,247,0.0676584824524899
DIARIA,NACIONAL,NACIONAL,2023-06-24,0,891,236,255,171,0.0537500432630741
DIARIA,NACIONAL,NACIONAL,2023-06-25,0,643,178,220,136,0.0476267551491118
DIARIA,NACIONAL,NACIONAL,2023-06-26,0,1047,330,374,244,0.0713825676255904
DIARIA,NACIONAL,NACIONAL,2023-06-27,0,1136,308,303,196,-
DIARIA,NACIONAL,NACIONAL,2023-06-28,0,1173,336,288,243,-
DIARIA,NACIONAL,NACIONAL,2023-06-29,0,1074,267,282,191,-
DIARIA,NACIONAL,NACIONAL,2023-06-30,0,819,144,170,98,0.120085845283387
DIARIA,NACIONAL,NACIONAL,2023-07-01,0,1028,304,362,182,0.0713850837138508
DIARIA,NACIONAL,NACIONAL,2023-07-02,0,766,229,284,129,0.0554570877151522
DIARIA,NACIONAL,NACIONAL,2023-07-03,0,1271,314,495,246,0.07930176264021
DIARIA,NACIONAL,NACIONAL,2023-07-04,0,1557,389,506,247,0.0880213938623096
DIARIA,NACIONAL,NACIONAL,2023-07-05,0,1352,409,451,212,0.078261711813515
DIARIA,NACIONAL,NACIONAL,2023-07-06,0,1014,408,475,239,0.0686331212647002
DIARIA,NACIONAL,NACIONAL,2023-07-07,0,773,330,422,250,0.0539956803455724
DIARIA,NACIONAL,NACIONAL,2023-07-08,0,522,246,327,136,0.068971313312416
DIARIA,NACIONAL,NACIONAL,2023-07-09,0,319,137,200,93,0.0278967559313196
DIARIA,NACIONAL,NACIONAL,2023-07-10,0,549,240,313,160,0.0412809525367178
DIARIA,NACIONAL,NACIONAL,2023-07-11,0,577,215,280,187,0.0556857888451502
DIARIA,NACIONAL,NACIONAL,2023-07-12,0,571,213,201,166,0.0491838304418426
DIARIA,NACIONAL,NACIONAL,2023-07-13,0,631,250,212,185,-
DIARIA,NACIONAL,NACIONAL,2023-07-14,0,607,203,225,182,-
DIARIA,NACIONAL,NACIONAL,2023-07-15,0,532,183,214,152,-
DIARIA,NACIONAL,NACIONAL,2023-07-16,0,380,138,200,92,-
DIARIA,NACIONAL,NACIONAL,2023-07-17,0,617,219,276,210,-
DIARIA,NACIONAL,NACIONAL,2023-07-18,0,654,247,254,176,-
DIARIA,NACIONAL,NACIONAL,2023-07-19,0,604,226,251,185,-
DIARIA,NACIONAL,NACIONAL,2023-07-20,0,600,250,225,167,-
DIARIA,NACIONAL,NACIONAL,2023-07-21,0,655,201,191,128,-
DIARIA,NACIONAL,NACIONAL,2023-07-22,0,628,160,180,115,-
DIARIA,NACIONAL,NACIONAL,2023-07-23,0,399,101,149,90,-
DIARIA,NACIONAL,NACIONAL,2023-07-24,0,747,174,222,181,-
DIARIA,NACIONAL,NACIONAL,2023-07-25,0,810,170,217,176,-
DIARIA,NACIONAL,NACIONAL,2023-07-26,0,793,198,203,168,-
DIARIA,NACIONAL,NACIONAL,2023-07-27,0,735,184,197,149,-
DIARIA,NACIONAL,NACIONAL,2023-07-28,0,710,151,256,153,-
DIARIA,NACIONAL,NACIONAL,2023-07-29,0,729,138,302,118,-
DIARIA,NACIONAL,NACIONAL,2023-07-30,0,597,122,254,84,-
DIARIA,NACIONAL,NACIONAL,2023-07-31,0,894,186,374,185,-
DIARIA,NACIONAL,NACIONAL,2023-08-01,0,858,219,369,160,-
DIARIA,NACIONAL,NACIONAL,2023-08-02,0,862,201,338,159,-
DIARIA,NACIONAL,NACIONAL,2023-08-03,0,956,212,323,136,-
DIARIA,NACIONAL,NACIONAL,2023-08-04,0,835,228,289,152,-
DIARIA,NACIONAL,NACIONAL,2023-08-05,0,796,202,271,98,-
DIARIA,NACIONAL,NACIONAL,2023-08-06,0,515,145,174,90,-
DIARIA,NACIONAL,NACIONAL,2023-08-07,0,751,228,336,154,-
DIARIA,NACIONAL,NACIONAL,2023-08-08,0,714,210,227,146,-
DIARIA,NACIONAL,NACIONAL,2023-08-09,0,726,177,202,112,-
DIARIA,NACIONAL,NACIONAL,2023-08-10,0,681,216,188,99,-
DIARIA,NACIONAL,NACIONAL,2023-08-11,0,789,189,186,95,-
DIARIA,NACIONAL,NACIONAL,2023-08-12,0,595,145,144,71,-
