DIRECCION,Fecha_Descarga,CDD,ADDON,Soportes,Instalaciones,Recolecciones
CENTRO-SUR,12/11/2021,1025,2119,786,4983,2211
CENTRO-SUR,13/11/2021,1043,1986,754,5621,2299
CENTRO-SUR,14/11/2021,958,1940,669,6070,2599
CENTRO-SUR,15/11/2021,849,1994,660,6381,2823
CENTRO-SUR,16/11/2021,898,2305,774,7018,3093
CENTRO-SUR,17/11/2021,1059,2954,986,8474,3398
CENTRO-SUR,18/11/2021,1261,3665,901,7848,3619
CENTRO-SUR,19/11/2021,1282,3782,806,7935,3711
CENTRO-SUR,20/11/2021,1218,3280,849,8139,3779
CENTRO-SUR,21/11/2021,1132,2976,757,7928,3888
CENTRO-SUR,22/11/2021,985,2743,602,7914,3829
CENTRO-SUR,23/11/2021,1045,2621,859,8196,3533
CENTRO-SUR,24/11/2021,1124,2643,911,8536,3645
CENTRO-SUR,25/11/2021,1191,2461,852,9057,3634
CENTRO-SUR,26/11/2021,1210,2215,891,9081,3590
CENTRO-SUR,27/11/2021,1234,2140,839,9313,3422
CENTRO-SUR,28/11/2021,1162,2129,784,9282,3387
CENTRO-SUR,29/11/2021,1026,1960,692,9482,3142
CENTRO-SUR,30/11/2021,1184,2017,995,9405,3000
CENTRO-SUR,01/12/2021,1369,2385,1076,8252,3143
CENTRO-SUR,02/12/2021,1389,2591,1018,7969,3374
CENTRO-SUR,03/12/2021,1326,2723,984,7396,3487
CENTRO-SUR,04/12/2021,1312,2668,1003,7061,3304
CENTRO-SUR,05/12/2021,1182,2545,835,6433,3309
CENTRO-SUR,06/12/2021,1009,2170,867,5881,3194
CENTRO-SUR,07/12/2021,1074,2520,1046,5763,2986
CENTRO-SUR,08/12/2021,1147,2662,1032,5997,3115
CENTRO-SUR,09/12/2021,1141,2678,969,5613,3040
CENTRO-SUR,10/12/2021,1127,2687,967,5526,2985
CENTRO-SUR,11/12/2021,1085,2563,880,5100,2831
CENTRO-SUR,12/12/2021,931,2209,803,4571,2693
CENTRO-SUR,13/12/2021,811,1907,672,4187,2625
CENTRO-SUR,14/12/2021,890,1856,884,4464,2380
CENTRO-SUR,15/12/2021,975,1756,776,4616,2537
CENTRO-SUR,16/12/2021,985,1903,893,4544,2462
CENTRO-SUR,17/12/2021,1083,1980,1017,4455,2387
CENTRO-SUR,18/12/2021,1068,1957,855,4147,2400
CENTRO-SUR,19/12/2021,962,1736,768,3668,2341
CENTRO-SUR,20/12/2021,883,1589,690,3064,2268
CENTRO-SUR,21/12/2021,855,1756,836,3433,2130
CENTRO-SUR,22/12/2021,842,2031,844,3409,1901
CENTRO-SUR,23/12/2021,761,1895,901,3404,1681
CENTRO-SUR,24/12/2021,670,1878,822,3049,1425
CENTRO-SUR,25/12/2021,618,1325,509,2392,1296
CENTRO-SUR,26/12/2021,583,1178,613,2011,1380
CENTRO-SUR,27/12/2021,514,939,569,2336,1060
CENTRO-SUR,28/12/2021,693,1052,724,2660,1174
CENTRO-SUR,29/12/2021,797,1103,715,2858,1064
CENTRO-SUR,30/12/2021,734,1152,723,3000,1073
CENTRO-SUR,31/12/2021,736,1139,693,2577,1016
CENTRO-SUR,01/01/2022,656,924,461,1577,938
CENTRO-SUR,02/01/2022,669,890,585,1507,1176
CENTRO-SUR,03/01/2022,582,754,750,1705,1022
CENTRO-SUR,04/01/2022,742,946,1011,2318,1097
