PLAZA,fecha_apertura,Cliente Reagenda,CONFIRMACION DE VISITA,INCUMPLIMIENTO FUERA DE TIEMPO,Splitter,% incump. sobre total agendado
POZA RICA,2021-09-17,2,35,85,0,46
POZA RICA,2021-09-18,3,48,54,0,44
POZA RICA,2021-09-19,4,31,52,1,39
POZA RICA,2021-09-20,1,24,52,0,39
POZA RICA,2021-09-21,0,15,34,0,22
POZA RICA,2021-09-22,2,21,14,0,20
POZA RICA,2021-09-23,1,11,15,0,13
POZA RICA,2021-09-24,0,7,11,0,8
POZA RICA,2021-09-25,0,4,12,0,8
POZA RICA,2021-09-26,0,6,9,0,12
POZA RICA,2021-09-27,0,8,7,0,13
POZA RICA,2021-09-28,0,6,3,0,9
POZA RICA,2021-09-29,1,4,0,0,6
POZA RICA,2021-09-30,0,3,0,0,4
POZA RICA,2021-10-01,1,5,0,0,9
POZA RICA,2021-10-02,0,1,1,0,4
POZA RICA,2021-10-03,0,2,1,0,7
POZA RICA,2021-10-04,0,3,2,0,11
POZA RICA,2021-10-05,1,1,0,0,3
POZA RICA,2021-10-06,0,5,3,0,14
POZA RICA,2021-10-07,0,8,1,0,9
POZA RICA,2021-10-08,0,4,1,0,6
POZA RICA,2021-10-09,1,2,1,0,5
POZA RICA,2021-10-10,0,0,1,0,2
POZA RICA,2021-10-11,1,1,0,0,3
POZA RICA,2021-10-12,0,2,1,0,5
POZA RICA,2021-10-13,0,2,1,0,4
POZA RICA,2021-10-14,0,0,1,0,2
POZA RICA,2021-10-16,0,3,0,0,6
POZA RICA,2021-10-17,1,0,0,0,4
POZA RICA,2021-10-19,0,2,0,0,4
POZA RICA,2021-10-20,0,2,0,0,4
POZA RICA,2021-10-22,0,3,0,0,6
POZA RICA,2021-10-24,0,1,0,0,3
POZA RICA,2021-10-25,0,1,0,0,2
POZA RICA,2021-10-27,0,1,0,0,2
POZA RICA,2021-10-28,0,5,1,0,11
POZA RICA,2021-10-29,0,2,0,0,5
POZA RICA,2021-10-30,0,2,0,0,4
POZA RICA,2021-10-31,0,1,0,0,2
POZA RICA,2021-11-01,0,1,0,0,2
POZA RICA,2021-11-03,0,1,0,0,2
POZA RICA,2021-11-04,1,0,0,0,2
POZA RICA,2021-11-05,0,1,0,0,3
POZA RICA,2021-11-06,0,1,0,0,3
POZA RICA,2021-11-09,1,1,0,0,5
POZA RICA,2021-11-11,0,3,0,0,NA
POZA RICA,2021-11-12,0,1,0,0,2
POZA RICA,2021-11-13,0,1,0,0,2
POZA RICA,2021-11-14,0,1,0,0,3
POZA RICA,2021-11-15,0,1,0,0,2
POZA RICA,2021-11-16,0,1,0,0,2
POZA RICA,2021-11-17,1,2,2,0,7
POZA RICA,2021-11-18,1,5,0,0,11
POZA RICA,2021-11-19,1,1,0,0,4
POZA RICA,2021-11-21,0,1,0,0,3
POZA RICA,2021-11-23,0,1,0,0,2
POZA RICA,2021-11-25,0,1,2,0,5
POZA RICA,2021-11-28,0,1,0,0,2
POZA RICA,2021-12-01,0,1,0,0,NA
POZA RICA,2021-12-03,0,4,0,0,NA
POZA RICA,2021-12-04,0,3,0,0,8
POZA RICA,2021-12-07,0,1,0,0,2
POZA RICA,2021-12-10,0,2,1,0,7
POZA RICA,2021-12-12,0,1,0,0,3
POZA RICA,2021-12-15,0,2,0,0,4
POZA RICA,2021-12-16,1,1,0,0,NA
POZA RICA,2021-12-17,0,1,0,0,3
POZA RICA,2021-12-19,0,2,0,0,6
POZA RICA,2021-12-22,0,1,0,0,3
POZA RICA,2021-12-26,0,1,0,0,4
POZA RICA,2021-12-27,0,1,0,0,3
POZA RICA,2021-12-30,0,3,0,0,7
POZA RICA,2021-12-31,0,2,0,0,6
POZA RICA,2022-01-02,0,1,0,0,4
POZA RICA,2022-01-03,0,1,0,0,2
POZA RICA,2022-01-04,2,1,0,0,NA
POZA RICA,2022-01-05,0,2,0,0,5
POZA RICA,2022-01-06,1,0,0,0,2
POZA RICA,2022-01-07,0,1,0,0,2
POZA RICA,2022-01-12,1,0,0,0,2
POZA RICA,2022-01-13,0,2,0,0,4
POZA RICA,2022-01-14,0,1,0,0,2
POZA RICA,2022-01-15,0,2,0,0,4
POZA RICA,2022-01-16,0,1,0,0,NA
POZA RICA,2022-01-17,0,1,0,0,3
POZA RICA,2022-01-18,1,0,0,0,3
POZA RICA,2022-01-20,0,3,0,0,6
POZA RICA,2022-01-22,0,0,1,0,3
POZA RICA,2022-01-24,1,1,0,0,5
POZA RICA,2022-01-25,2,0,0,0,4
POZA RICA,2022-01-27,0,1,0,0,2
POZA RICA,2022-01-30,0,2,1,0,9
POZA RICA,2022-01-31,0,3,0,0,7
POZA RICA,2022-02-01,0,1,0,0,2
POZA RICA,2022-02-02,1,1,1,0,7
POZA RICA,2022-02-03,0,1,0,0,2
POZA RICA,2022-02-04,0,0,1,0,2
POZA RICA,2022-02-05,0,1,0,0,2
POZA RICA,2022-02-06,0,0,1,0,3
POZA RICA,2022-02-09,0,1,0,0,2
POZA RICA,2022-02-10,0,1,0,0,3
POZA RICA,2022-02-11,1,2,0,0,6
POZA RICA,2022-02-12,0,0,1,0,2
POZA RICA,2022-02-15,0,3,0,0,6
PUEBLA,2021-08-16,2,20,8,1,7
PUEBLA,2021-08-17,7,31,10,0,10
PUEBLA,2021-08-18,9,30,14,0,10
PUEBLA,2021-08-19,4,34,11,4,10
PUEBLA,2021-08-20,3,32,11,1,9
PUEBLA,2021-08-21,3,8,3,0,3
PUEBLA,2021-08-22,2,12,1,0,4
PUEBLA,2021-08-23,6,23,5,1,7
PUEBLA,2021-08-24,4,30,3,1,8
PUEBLA,2021-08-25,5,22,5,3,7
PUEBLA,2021-08-26,8,36,9,0,10
PUEBLA,2021-08-27,2,31,8,3,8
PUEBLA,2021-08-28,7,25,14,0,8
PUEBLA,2021-08-29,3,18,8,2,8
PUEBLA,2021-08-30,4,29,10,1,8
PUEBLA,2021-08-31,1,28,17,2,8
PUEBLA,2021-09-01,2,29,9,1,9
PUEBLA,2021-09-02,3,34,8,1,8
PUEBLA,2021-09-03,4,32,24,2,11
PUEBLA,2021-09-04,6,39,16,1,11
PUEBLA,2021-09-05,4,26,11,0,10
PUEBLA,2021-09-06,3,42,22,0,11
PUEBLA,2021-09-07,4,39,9,1,9
PUEBLA,2021-09-08,2,47,26,3,13
PUEBLA,2021-09-09,7,46,21,3,13
PUEBLA,2021-09-10,4,46,11,0,11
PUEBLA,2021-09-11,2,23,14,0,7
PUEBLA,2021-09-12,3,19,11,1,8
PUEBLA,2021-09-13,6,22,12,0,7
PUEBLA,2021-09-14,9,17,10,0,5
PUEBLA,2021-09-15,3,15,7,0,5
PUEBLA,2021-09-16,0,22,4,0,7
PUEBLA,2021-09-17,2,8,4,0,3
PUEBLA,2021-09-18,1,10,1,0,2
PUEBLA,2021-09-19,2,10,5,0,5
PUEBLA,2021-09-20,4,9,4,0,4
PUEBLA,2021-09-21,1,18,1,0,4
PUEBLA,2021-09-22,1,17,2,1,5
PUEBLA,2021-09-23,1,6,5,0,3
PUEBLA,2021-09-24,2,8,2,0,3
PUEBLA,2021-09-25,5,7,4,0,3
PUEBLA,2021-09-26,1,4,6,0,3
PUEBLA,2021-09-27,0,13,2,0,3
PUEBLA,2021-09-28,2,15,0,0,3
PUEBLA,2021-09-29,1,20,3,0,4
PUEBLA,2021-09-30,4,24,6,0,6
PUEBLA,2021-10-01,8,19,7,0,7
PUEBLA,2021-10-02,4,16,1,0,4
PUEBLA,2021-10-03,0,9,1,0,3
PUEBLA,2021-10-04,0,12,2,0,3
PUEBLA,2021-10-05,2,8,1,1,2
PUEBLA,2021-10-06,5,8,3,0,3
PUEBLA,2021-10-07,1,13,1,0,3
PUEBLA,2021-10-08,3,11,4,0,3
PUEBLA,2021-10-09,1,8,3,0,2
PUEBLA,2021-10-10,1,6,0,0,2
PUEBLA,2021-10-11,1,8,0,1,2
PUEBLA,2021-10-12,3,9,1,0,3
PUEBLA,2021-10-13,2,15,2,0,4
PUEBLA,2021-10-14,9,17,1,0,5
PUEBLA,2021-10-15,1,8,2,0,2
PUEBLA,2021-10-16,2,11,0,0,3
PUEBLA,2021-10-17,0,3,0,0,1
PUEBLA,2021-10-18,0,11,0,0,2
PUEBLA,2021-10-19,1,10,7,0,3
PUEBLA,2021-10-20,5,11,3,0,4
PUEBLA,2021-10-21,2,13,4,0,4
PUEBLA,2021-10-22,2,21,3,0,5
PUEBLA,2021-10-23,1,12,0,0,3
PUEBLA,2021-10-24,1,4,0,0,1
PUEBLA,2021-10-25,1,6,2,0,2
PUEBLA,2021-10-26,3,18,1,0,4
PUEBLA,2021-10-27,3,14,5,0,5
PUEBLA,2021-10-28,4,10,0,0,3
PUEBLA,2021-10-29,1,10,2,1,3
PUEBLA,2021-10-30,2,19,3,0,5
PUEBLA,2021-10-31,0,6,0,1,2
PUEBLA,2021-11-01,2,11,4,0,4
PUEBLA,2021-11-02,2,12,2,0,4
PUEBLA,2021-11-03,1,10,2,0,3
PUEBLA,2021-11-04,2,24,2,0,6
PUEBLA,2021-11-05,2,5,3,0,2
PUEBLA,2021-11-06,1,14,1,0,3
PUEBLA,2021-11-07,0,7,0,0,2
PUEBLA,2021-11-08,4,11,2,0,3
PUEBLA,2021-11-09,3,15,1,1,4
PUEBLA,2021-11-10,4,12,3,0,4
PUEBLA,2021-11-11,2,17,4,0,NA
PUEBLA,2021-11-12,1,11,2,0,3
PUEBLA,2021-11-13,1,12,1,0,3
PUEBLA,2021-11-14,2,2,0,0,1
PUEBLA,2021-11-15,4,17,2,0,5
PUEBLA,2021-11-16,2,19,1,0,4
PUEBLA,2021-11-17,4,20,0,0,5
PUEBLA,2021-11-18,2,20,3,0,4
PUEBLA,2021-11-19,0,22,4,0,5
PUEBLA,2021-11-20,3,12,2,0,4
PUEBLA,2021-11-21,1,7,0,1,3
PUEBLA,2021-11-22,3,14,0,1,4
PUEBLA,2021-11-23,2,9,0,0,2
PUEBLA,2021-11-24,1,7,1,0,2
PUEBLA,2021-11-25,1,11,1,0,3
PUEBLA,2021-11-26,4,7,1,0,NA
PUEBLA,2021-11-27,6,10,2,0,4
PUEBLA,2021-11-28,1,5,1,0,2
PUEBLA,2021-11-29,2,6,1,0,2
PUEBLA,2021-11-30,4,16,3,1,5
PUEBLA,2021-12-01,2,17,0,0,NA
PUEBLA,2021-12-02,4,10,3,0,4
PUEBLA,2021-12-03,5,7,2,0,NA
PUEBLA,2021-12-04,0,7,1,0,2
PUEBLA,2021-12-05,2,2,1,0,2
PUEBLA,2021-12-06,2,9,3,0,NA
PUEBLA,2021-12-07,1,9,0,0,2
PUEBLA,2021-12-08,4,9,0,0,3
PUEBLA,2021-12-09,0,1,1,0,0
PUEBLA,2021-12-10,1,12,1,0,3
PUEBLA,2021-12-11,3,7,0,0,2
PUEBLA,2021-12-12,1,5,0,0,2
PUEBLA,2021-12-13,1,9,0,0,2
PUEBLA,2021-12-14,1,9,1,0,3
PUEBLA,2021-12-15,0,7,0,0,2
PUEBLA,2021-12-16,0,7,0,0,NA
PUEBLA,2021-12-17,2,7,1,0,3
PUEBLA,2021-12-18,1,10,1,0,3
PUEBLA,2021-12-19,2,3,1,1,3
PUEBLA,2021-12-20,1,9,1,0,3
PUEBLA,2021-12-21,2,9,0,0,NA
PUEBLA,2021-12-22,3,14,0,0,4
PUEBLA,2021-12-23,3,9,0,0,3
PUEBLA,2021-12-24,0,2,0,0,1
