Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
DISTRITO,AGUASCALIENTES,3,1592,86,0.054020101
DISTRITO,AGUASCALIENTES,4,1583,98,0.06190777
DISTRITO,ARAGON,1,2197,168,0.076467911
DISTRITO,ARAGON,2,1983,135,0.068078669
DISTRITO,ARAGON,3,2157,147,0.068150209
DISTRITO,ARAGON,4,2225,174,0.078202247
DISTRITO,AZCAPOTZALCO,1,1614,229,0.141883519
DISTRITO,AZCAPOTZALCO,2,1456,155,0.106456044
DISTRITO,AZCAPOTZALCO,3,1832,219,0.119541485
DISTRITO,AZCAPOTZALCO,4,1938,263,0.135706914
DISTRITO,CANCUN,1,2187,234,0.106995885
DISTRITO,CANCUN,2,2183,205,0.093907467
DISTRITO,CANCUN,3,2459,249,0.101260675
DISTRITO,CANCUN,4,2554,299,0.117071261
DISTRITO,CELAYA,1,737,49,0.066485753
DISTRITO,CELAYA,2,598,33,0.055183946
DISTRITO,CELAYA,3,623,40,0.064205457
DISTRITO,CELAYA,4,752,65,0.08643617
DISTRITO,CENTRO HISTORICO,1,430,39,0.090697674
DISTRITO,CENTRO HISTORICO,2,587,55,0.093696763
DISTRITO,CENTRO HISTORICO,3,674,65,0.096439169
DISTRITO,CENTRO HISTORICO,4,639,71,0.111111111
DISTRITO,CERRO GORDO,1,1612,194,0.120347395
DISTRITO,CERRO GORDO,2,1397,144,0.103078024
DISTRITO,CERRO GORDO,3,1646,152,0.092345079
DISTRITO,CERRO GORDO,4,1753,152,0.0867085
DISTRITO,CHALCO,1,133,10,0.07518797
DISTRITO,CHALCO,2,211,12,0.056872038
DISTRITO,CHALCO,3,429,11,0.025641026
DISTRITO,CHALCO,4,418,22,0.052631579
DISTRITO,CHIHUAHUA CUMBRES,1,832,76,0.091346154
DISTRITO,CHIHUAHUA CUMBRES,2,835,51,0.061077844
DISTRITO,CHIHUAHUA CUMBRES,3,842,57,0.067695962
DISTRITO,CHIHUAHUA CUMBRES,4,845,39,0.046153846
DISTRITO,CHIHUAHUA DEL RELIZ,1,795,87,0.109433962
DISTRITO,CHIHUAHUA DEL RELIZ,2,1126,110,0.097690941
DISTRITO,CHIHUAHUA DEL RELIZ,3,1113,119,0.106918239
DISTRITO,CHIHUAHUA DEL RELIZ,4,1043,111,0.106423778
DISTRITO,CIUDAD OBREGON / NAVOJOA,1,242,22,0.090909091
DISTRITO,CIUDAD OBREGON / NAVOJOA,2,243,14,0.057613169
DISTRITO,CIUDAD OBREGON / NAVOJOA,3,232,13,0.056034483
