Fecha,Distrito,Tiempo Prom. Traslado (Sin 1 era),Tiempo sumT traslado sin1ra24,n traslados sin1ra
30/11/2023,LAS AGUILAS,00:48,3.80625,113
01/12/2023,LAS AGUILAS,00:46,2.790972222,87
02/12/2023,LAS AGUILAS,00:45,2.18125,69
03/12/2023,LAS AGUILAS,00:45,2.393055556,75
04/12/2023,LAS AGUILAS,00:55,2.998611111,78
05/12/2023,LAS AGUILAS,00:38,2.567361111,97
06/12/2023,LAS AGUILAS,00:47,3.044444444,93
07/12/2023,LAS AGUILAS,00:46,3.367361111,104
08/12/2023,LAS AGUILAS,00:46,3.029861111,93
09/12/2023,LAS AGUILAS,00:50,3.394444444,97
10/12/2023,LAS AGUILAS,00:42,1.965277778,67
11/12/2023,LAS AGUILAS,00:40,2.53125,90
12/12/2023,LAS AGUILAS,00:47,2.954166667,90
13/12/2023,LAS AGUILAS,00:44,3.455555556,113
14/12/2023,LAS AGUILAS,00:47,3.347222222,101
15/12/2023,LAS AGUILAS,00:40,3.015277778,107
16/12/2023,LAS AGUILAS,00:38,2.145138889,80
17/12/2023,LAS AGUILAS,00:42,2.376388889,81
18/12/2023,LAS AGUILAS,00:42,2.625694444,88
19/12/2023,LAS AGUILAS,00:41,2.996527778,104
20/12/2023,LAS AGUILAS,00:41,3.082638889,108
21/12/2023,LAS AGUILAS,00:43,2.98125,99
22/12/2023,LAS AGUILAS,00:42,3.086111111,105
23/12/2023,LAS AGUILAS,00:43,3.160416667,105
26/12/2023,LAS AGUILAS,00:44,3.511805556,113
27/12/2023,LAS AGUILAS,00:45,3.7875,121
28/12/2023,LAS AGUILAS,00:37,2.997222222,115
29/12/2023,LAS AGUILAS,00:51,3.938194444,110
30/12/2023,LAS AGUILAS,00:42,2.484722222,85
02/01/2024,LAS AGUILAS,00:36,2.309027778,90
03/01/2024,LAS AGUILAS,00:43,3.060416667,101
04/01/2024,LAS AGUILAS,00:41,2.767361111,97
05/01/2024,LAS AGUILAS,00:40,3.35625,120
06/01/2024,LAS AGUILAS,00:39,2.15625,79
07/01/2024,LAS AGUILAS,00:44,2.027777778,66
08/01/2024,LAS AGUILAS,00:45,2.561805556,81
09/01/2024,LAS AGUILAS,00:39,2.573611111,93
10/01/2024,LAS AGUILAS,00:42,2.795138889,94
11/01/2024,LAS AGUILAS,00:46,2.890972222,89
12/01/2024,LAS AGUILAS,00:41,2.454166667,85
13/01/2024,LAS AGUILAS,00:48,2.138888889,64
14/01/2024,LAS AGUILAS,00:43,1.831944444,61
15/01/2024,LAS AGUILAS,00:47,2.425,74
16/01/2024,LAS AGUILAS,00:50,2.371527778,68
17/01/2024,LAS AGUILAS,00:44,2.110439815,69
18/01/2024,LAS AGUILAS,00:43,2.334016204,78
19/01/2024,LAS AGUILAS,00:47,2.795092593,84
20/01/2024,LAS AGUILAS,00:51,2.127210648,59
21/01/2024,LAS AGUILAS,00:42,1.844606481,62
22/01/2024,LAS AGUILAS,00:41,2.442303241,85
23/01/2024,LAS AGUILAS,00:43,2.067627315,68
24/01/2024,LAS AGUILAS,00:46,2.520833333,78
25/01/2024,LAS AGUILAS,00:49,3.676388889,106
26/01/2024,LAS AGUILAS,00:45,2.946527778,93
27/01/2024,LAS AGUILAS,00:42,3.457638889,117
28/01/2024,LAS AGUILAS,00:40,2.938194444,105
29/01/2024,LAS AGUILAS,00:45,3.628472222,115
30/01/2024,LAS AGUILAS,00:48,3.072916667,92
31/01/2024,LAS AGUILAS,00:43,3.329861111,111
