Fecha,Distrito,Incumplimientos
12/03/2024,LAS AGUILAS,4
13/03/2024,LAS AGUILAS,2
14/03/2024,LAS AGUILAS,3
15/03/2024,LAS AGUILAS,1
16/03/2024,LAS AGUILAS,0
17/03/2024,LAS AGUILAS,4
18/03/2024,LAS AGUILAS,3
19/03/2024,LAS AGUILAS,3
20/03/2024,LAS AGUILAS,1
21/03/2024,LAS AGUILAS,0
22/03/2024,LAS AGUILAS,2
23/03/2024,LAS AGUILAS,2
24/03/2024,LAS AGUILAS,6
25/03/2024,LAS AGUILAS,0
26/03/2024,LAS AGUILAS,2
27/03/2024,LAS AGUILAS,6
28/03/2024,LAS AGUILAS,4
29/03/2024,LAS AGUILAS,3
30/03/2024,LAS AGUILAS,4
31/03/2024,LAS AGUILAS,1
01/04/2024,LAS AGUILAS,2
02/04/2024,LAS AGUILAS,0
03/04/2024,LAS AGUILAS,1
04/04/2024,LAS AGUILAS,1
05/04/2024,LAS AGUILAS,0
06/04/2024,LAS AGUILAS,1
07/04/2024,LAS AGUILAS,2
08/04/2024,LAS AGUILAS,0
09/04/2024,LAS AGUILAS,0
10/04/2024,LAS AGUILAS,0
11/04/2024,LAS AGUILAS,2
01/11/2023,PEDREGAL,12
02/11/2023,PEDREGAL,11
03/11/2023,PEDREGAL,7
04/11/2023,PEDREGAL,5
05/11/2023,PEDREGAL,4
06/11/2023,PEDREGAL,13
07/11/2023,PEDREGAL,15
08/11/2023,PEDREGAL,9
09/11/2023,PEDREGAL,11
10/11/2023,PEDREGAL,22
11/11/2023,PEDREGAL,8
12/11/2023,PEDREGAL,10
13/11/2023,PEDREGAL,10
14/11/2023,PEDREGAL,14
15/11/2023,PEDREGAL,15
16/11/2023,PEDREGAL,17
17/11/2023,PEDREGAL,12
18/11/2023,PEDREGAL,8
19/11/2023,PEDREGAL,10
20/11/2023,PEDREGAL,27
21/11/2023,PEDREGAL,22
22/11/2023,PEDREGAL,16
23/11/2023,PEDREGAL,14
24/11/2023,PEDREGAL,22
25/11/2023,PEDREGAL,16
26/11/2023,PEDREGAL,18
27/11/2023,PEDREGAL,40
28/11/2023,PEDREGAL,19
29/11/2023,PEDREGAL,15
30/11/2023,PEDREGAL,7
01/12/2023,PEDREGAL,11
02/12/2023,PEDREGAL,5
03/12/2023,PEDREGAL,5
04/12/2023,PEDREGAL,14
05/12/2023,PEDREGAL,9
06/12/2023,PEDREGAL,7
07/12/2023,PEDREGAL,3
08/12/2023,PEDREGAL,5
09/12/2023,PEDREGAL,6
10/12/2023,PEDREGAL,2
11/12/2023,PEDREGAL,5
12/12/2023,PEDREGAL,6
13/12/2023,PEDREGAL,5
14/12/2023,PEDREGAL,7
15/12/2023,PEDREGAL,1
16/12/2023,PEDREGAL,3
17/12/2023,PEDREGAL,9
18/12/2023,PEDREGAL,13
19/12/2023,PEDREGAL,7
